base_date,Local Code,label_high_20,label_low_20
2020-10-13,2020-10-13-1418,0.1005591,-0.061044052
2020-01-14,2020-01-14-1419,0.094595015,-0.060973927
2020-02-04,2020-02-04-1419,0.09508438,-0.060613997
2020-04-14,2020-04-14-1419,0.09587294,-0.061006412
2020-06-22,2020-06-22-1419,0.09473617,-0.060243957
2020-07-13,2020-07-13-1419,0.09524294,-0.060618713
2020-10-12,2020-10-12-1419,0.092922725,-0.059687898
2020-02-06,2020-02-06-1420,0.09586621,-0.059186406
2020-05-14,2020-05-14-1420,0.09665285,-0.059331812
2020-05-15,2020-05-15-1420,0.096593,-0.05929616
2020-07-31,2020-07-31-1420,0.09676567,-0.05937156
2020-11-06,2020-11-06-1420,0.09610931,-0.05918657
2020-02-10,2020-02-10-1429,0.09747995,-0.06005829
2020-05-11,2020-05-11-1429,0.096948035,-0.059662156
2020-08-07,2020-08-07-1429,0.0967726,-0.059483923
2020-11-09,2020-11-09-1429,0.096372515,-0.059441157
2020-01-10,2020-01-10-1430,0.09689551,-0.059550956
2020-04-10,2020-04-10-1430,0.09818331,-0.059881374
2020-05-26,2020-05-26-1430,0.09764049,-0.060003765
2020-07-10,2020-07-10-1430,0.097232305,-0.059555642
2020-10-09,2020-10-09-1430,0.09628137,-0.059654422
2020-02-03,2020-02-03-1431,0.094948664,-0.059142247
2020-02-13,2020-02-13-1431,0.09493721,-0.05907038
2020-05-14,2020-05-14-1431,0.095629625,-0.059187442
2020-08-06,2020-08-06-1431,0.09385843,-0.05887606
2020-08-11,2020-08-11-1431,0.09415767,-0.058868267
2020-08-21,2020-08-21-1431,0.093393885,-0.058842555
2020-11-10,2020-11-10-1431,0.08991948,-0.058917545
2020-03-13,2020-03-13-1433,0.09706794,-0.05960901
2020-06-09,2020-06-09-1433,0.092892684,-0.058871865
2020-09-09,2020-09-09-1433,0.09432224,-0.058885947
2020-12-10,2020-12-10-1433,0.09110961,-0.05849351
2020-01-14,2020-01-14-1434,0.10138702,-0.062296055
2020-04-13,2020-04-13-1434,0.09894847,-0.05982524
2020-07-14,2020-07-14-1434,0.09825618,-0.059875302
2020-10-05,2020-10-05-1434,0.09787137,-0.0597668
2020-10-14,2020-10-14-1434,0.09787009,-0.059974387
2020-02-13,2020-02-13-1435,0.10099613,-0.061151654
2020-05-13,2020-05-13-1435,0.10388736,-0.062999815
2020-08-12,2020-08-12-1435,0.10108127,-0.06088028
2020-11-12,2020-11-12-1435,0.10291542,-0.062511526
2020-03-13,2020-03-13-1436,0.09717318,-0.05946736
2020-06-26,2020-06-26-1436,0.0964955,-0.0592795
2020-09-14,2020-09-14-1436,0.096004196,-0.05917321
2020-12-14,2020-12-14-1436,0.09246409,-0.058758467
2020-02-10,2020-02-10-1439,0.092859834,-0.058538243
2020-05-13,2020-05-13-1439,0.09457188,-0.058835715
2020-07-15,2020-07-15-1439,0.09429901,-0.058801472
2020-08-07,2020-08-07-1439,0.09450608,-0.05892901
2020-11-10,2020-11-10-1439,0.09320396,-0.058629923
2020-02-14,2020-02-14-1443,0.10255707,-0.06296478
2020-05-20,2020-05-20-1443,0.100250326,-0.060982198
2020-05-22,2020-05-22-1443,0.10486751,-0.06431542
2020-08-14,2020-08-14-1443,0.10048638,-0.060938746
2020-11-13,2020-11-13-1443,0.099249564,-0.060105324
2020-02-13,2020-02-13-1446,0.09571238,-0.059294157
2020-05-15,2020-05-15-1446,0.09770468,-0.05968278
2020-08-14,2020-08-14-1446,0.097049385,-0.05987156
2020-11-13,2020-11-13-1446,0.09697861,-0.05949278
2020-02-14,2020-02-14-1447,0.098930426,-0.060512938
2020-06-03,2020-06-03-1447,0.10310729,-0.06369604
2020-06-05,2020-06-05-1447,0.1033954,-0.06389028
2020-08-14,2020-08-14-1447,0.10101943,-0.06321992
2020-11-16,2020-11-16-1447,0.10055495,-0.063312456
2020-02-14,2020-02-14-1448,0.09725609,-0.05968707
2020-05-22,2020-05-22-1448,0.09930691,-0.060456842
2020-05-25,2020-05-25-1448,0.09927307,-0.060497858
2020-09-14,2020-09-14-1448,0.102194466,-0.06332709
2020-10-07,2020-10-07-1448,0.0998179,-0.06117712
2020-11-13,2020-11-13-1448,0.09775824,-0.060203277
2020-02-14,2020-02-14-1450,0.09093123,-0.05843152
2020-05-15,2020-05-15-1450,0.091552235,-0.058397003
2020-08-07,2020-08-07-1450,0.08919397,-0.058079727
2020-11-12,2020-11-12-1450,0.08692961,-0.05774703
2020-12-18,2020-12-18-1450,0.08875062,-0.05803498
2020-02-10,2020-02-10-1451,0.094859876,-0.059027284
2020-05-07,2020-05-07-1451,0.097231485,-0.059476413
2020-08-05,2020-08-05-1451,0.09706048,-0.059434146
2020-11-04,2020-11-04-1451,0.09682246,-0.05937341
2020-02-13,2020-02-13-1491,0.10199826,-0.061037727
2020-05-15,2020-05-15-1491,0.10616388,-0.06440437
2020-08-13,2020-08-13-1491,0.015736736,-0.018956155
2020-11-12,2020-11-12-1491,0.08616539,-0.050072983
2020-01-31,2020-01-31-1514,0.10269778,-0.061903223
2020-04-17,2020-04-17-1514,0.10270213,-0.061956443
2020-05-15,2020-05-15-1514,0.1024088,-0.061418243
2020-07-30,2020-07-30-1514,0.100681014,-0.06045261
2020-10-30,2020-10-30-1514,0.10050046,-0.060333632
2020-02-03,2020-02-03-1515,0.07746567,-0.05775027
2020-05-11,2020-05-11-1515,0.07722957,-0.057549886
2020-08-04,2020-08-04-1515,0.07875735,-0.058187917
2020-11-04,2020-11-04-1515,0.076268464,-0.057011977
2020-02-07,2020-02-07-1518,0.09356945,-0.05890978
2020-05-13,2020-05-13-1518,0.09544421,-0.05918496
2020-08-07,2020-08-07-1518,0.096118696,-0.059345804
2020-11-06,2020-11-06-1518,0.096506335,-0.059535407
2020-02-12,2020-02-12-1605,0.07156379,-0.043065235
2020-05-12,2020-05-12-1605,0.026184496,-0.007836775
2020-08-06,2020-08-06-1605,0.028980251,-0.015586658
2020-11-06,2020-11-06-1605,0.028564248,-0.011561648
2020-02-10,2020-02-10-1662,0.08631146,-0.058680773
2020-05-14,2020-05-14-1662,0.09143414,-0.059372753
2020-08-11,2020-08-11-1662,0.09191745,-0.059728675
2020-11-10,2020-11-10-1662,0.09141477,-0.0592822
2020-02-10,2020-02-10-1663,0.09029066,-0.058295608
2020-05-13,2020-05-13-1663,0.090991236,-0.058434702
2020-08-12,2020-08-12-1663,0.09087808,-0.058459207
2020-11-11,2020-11-11-1663,0.091223516,-0.058517218
2020-02-10,2020-02-10-1711,0.09855836,-0.059801117
2020-05-01,2020-05-01-1711,0.0991109,-0.05988989
2020-05-15,2020-05-15-1711,0.09906448,-0.05984927
2020-07-22,2020-07-22-1711,0.098770365,-0.060127325
2020-08-05,2020-08-05-1711,0.0983686,-0.059914373
2020-11-06,2020-11-06-1711,0.09949626,-0.06062349
2020-01-06,2020-01-06-1712,0.093692996,-0.059063114
2020-04-03,2020-04-03-1712,0.096035756,-0.05928041
2020-06-30,2020-06-30-1712,0.0945938,-0.059127092
2020-10-01,2020-10-01-1712,0.09653079,-0.059551388
2020-02-14,2020-02-14-1716,0.095080376,-0.059029035
2020-05-15,2020-05-15-1716,0.09497201,-0.05896251
2020-06-15,2020-06-15-1716,0.09428785,-0.059057154
2020-08-13,2020-08-13-1716,0.09276868,-0.058834754
2020-11-13,2020-11-13-1716,0.0935068,-0.058778122
2020-12-08,2020-12-08-1716,0.09353339,-0.058762625
2020-02-06,2020-02-06-1717,0.09580931,-0.059351444
2020-05-15,2020-05-15-1717,0.09776734,-0.06006904
2020-08-07,2020-08-07-1717,0.097013645,-0.059499778
2020-11-06,2020-11-06-1717,0.09674485,-0.059473015
2020-02-13,2020-02-13-1718,0.07927119,-0.05821877
2020-04-28,2020-04-28-1718,0.08348262,-0.05786092
2020-07-29,2020-07-29-1718,0.081790864,-0.058061615
2020-10-28,2020-10-28-1718,0.08117717,-0.05814536
2020-02-12,2020-02-12-1719,0.10360162,-0.06693777
2020-05-13,2020-05-13-1719,0.09952371,-0.06208639
2020-08-06,2020-08-06-1719,0.10358616,-0.0658203
2020-10-29,2020-10-29-1719,0.098273374,-0.06091854
2020-11-10,2020-11-10-1719,0.10319639,-0.065309465
2020-02-07,2020-02-07-1720,0.09865754,-0.06146317
2020-05-11,2020-05-11-1720,0.09936235,-0.061391078
2020-08-06,2020-08-06-1720,0.09938524,-0.061490394
2020-11-09,2020-11-09-1720,0.10059845,-0.061932415
2020-02-07,2020-02-07-1721,0.08812793,-0.060935304
2020-05-13,2020-05-13-1721,0.08913638,-0.060909733
2020-08-07,2020-08-07-1721,0.087562025,-0.060398526
2020-11-06,2020-11-06-1721,0.09063119,-0.060703896
2020-01-29,2020-01-29-1723,0.08156365,-0.058162123
2020-04-22,2020-04-22-1723,0.08485266,-0.057742164
2020-05-08,2020-05-08-1723,0.08275531,-0.057956353
2020-05-20,2020-05-20-1723,0.082552746,-0.057958737
2020-07-29,2020-07-29-1723,0.082767114,-0.05796168
2020-11-02,2020-11-02-1723,0.081685364,-0.05807749
2020-02-13,2020-02-13-1724,0.093973964,-0.0592395
2020-05-14,2020-05-14-1724,0.095193,-0.0592584
2020-08-07,2020-08-07-1724,0.09592073,-0.059233695
2020-11-12,2020-11-12-1724,0.09455699,-0.05896347
2020-02-05,2020-02-05-1726,0.09787249,-0.059856765
2020-05-15,2020-05-15-1726,0.09758102,-0.05964744
2020-08-06,2020-08-06-1726,0.09713445,-0.05974628
2020-11-11,2020-11-11-1726,0.09631852,-0.059693567
2020-02-03,2020-02-03-1728,0.09858847,-0.05975163
2020-05-18,2020-05-18-1728,0.09892045,-0.059750617
2020-08-07,2020-08-07-1728,0.098902225,-0.05977959
2020-11-06,2020-11-06-1728,0.09892828,-0.05980152
2020-02-03,2020-02-03-1730,0.097171925,-0.05945549
2020-04-28,2020-04-28-1730,0.09785022,-0.05959803
2020-05-13,2020-05-13-1730,0.09728936,-0.059550516
2020-08-03,2020-08-03-1730,0.09743109,-0.059610903
2020-10-29,2020-10-29-1730,0.09697352,-0.059477672
2020-11-05,2020-11-05-1730,0.09684884,-0.05939708
2020-02-07,2020-02-07-1736,0.08687696,-0.057744652
2020-04-27,2020-04-27-1736,0.08812339,-0.057878993
2020-05-11,2020-05-11-1736,0.08754764,-0.057784654
2020-08-07,2020-08-07-1736,0.08738985,-0.057751514
2020-11-09,2020-11-09-1736,0.08813665,-0.057878368
2020-02-07,2020-02-07-1737,0.09421937,-0.058806024
2020-05-21,2020-05-21-1737,0.0957081,-0.05907896
2020-08-07,2020-08-07-1737,0.094991736,-0.058956623
2020-10-27,2020-10-27-1737,0.09441156,-0.058888495
2020-11-10,2020-11-10-1737,0.0942973,-0.05881858
2020-02-07,2020-02-07-1739,0.09394803,-0.05878
2020-05-08,2020-05-08-1739,0.09610403,-0.0591942
2020-07-17,2020-07-17-1739,0.096851975,-0.05937934
2020-08-07,2020-08-07-1739,0.09675684,-0.05933918
2020-08-21,2020-08-21-1739,0.09694419,-0.059375435
2020-11-06,2020-11-06-1739,0.095916465,-0.05918303
2020-02-12,2020-02-12-1743,0.080350205,-0.058196932
2020-05-13,2020-05-13-1743,0.08389928,-0.057813898
2020-08-11,2020-08-11-1743,0.080919236,-0.058175653
2020-08-31,2020-08-31-1743,0.0803635,-0.058210634
2020-11-13,2020-11-13-1743,0.08054117,-0.058152936
2020-02-14,2020-02-14-1757,0.10766834,-0.06724386
2020-03-27,2020-03-27-1757,0.10573477,-0.064118594
2020-05-15,2020-05-15-1757,0.10823724,-0.06704484
2020-08-14,2020-08-14-1757,0.054753434,-0.027461894
2020-11-16,2020-11-16-1757,0.08430987,-0.05587565
2020-03-13,2020-03-13-1758,0.074675374,-0.055880666
2020-06-12,2020-06-12-1758,0.06742319,-0.05244209
2020-09-11,2020-09-11-1758,0.07502542,-0.05618453
2020-12-11,2020-12-11-1758,0.07441691,-0.055768907
2020-02-12,2020-02-12-1762,0.08611698,-0.057740457
2020-05-20,2020-05-20-1762,0.08761039,-0.057914697
2020-05-27,2020-05-27-1762,0.087163955,-0.05790145
2020-08-06,2020-08-06-1762,0.08809686,-0.057955265
2020-11-11,2020-11-11-1762,0.08849818,-0.058195062
2020-02-07,2020-02-07-1764,0.08734063,-0.05774135
2020-05-22,2020-05-22-1764,0.08894038,-0.058043808
2020-08-07,2020-08-07-1764,0.08913523,-0.058058284
2020-11-06,2020-11-06-1764,0.088753946,-0.05800116
2020-03-12,2020-03-12-1766,0.06686561,-0.05235546
2020-06-18,2020-06-18-1766,0.060717974,-0.049477205
2020-09-10,2020-09-10-1766,0.06334275,-0.05068112
2020-12-11,2020-12-11-1766,0.058885563,-0.048618473
2020-02-12,2020-02-12-1768,0.09539589,-0.059027538
2020-05-08,2020-05-08-1768,0.0958956,-0.059104703
2020-08-11,2020-08-11-1768,0.095266685,-0.058993027
2020-10-30,2020-10-30-1768,0.09509542,-0.058961198
2020-11-09,2020-11-09-1768,0.0949307,-0.058920436
2020-02-12,2020-02-12-1770,0.09504906,-0.058953732
2020-05-12,2020-05-12-1770,0.09615826,-0.059167758
2020-08-12,2020-08-12-1770,0.09549875,-0.059068993
2020-11-12,2020-11-12-1770,0.095397726,-0.059026472
2020-01-30,2020-01-30-1775,0.08857459,-0.057977676
2020-04-24,2020-04-24-1775,0.09101726,-0.05837015
2020-07-30,2020-07-30-1775,0.08938572,-0.05812552
2020-10-29,2020-10-29-1775,0.08878076,-0.058011584
2020-02-12,2020-02-12-1776,0.09467713,-0.059003934
2020-05-13,2020-05-13-1776,0.09547163,-0.059008896
2020-08-06,2020-08-06-1776,0.09521737,-0.059108667
2020-11-11,2020-11-11-1776,0.09459538,-0.058868483
2020-02-14,2020-02-14-1780,0.09449566,-0.058895007
2020-05-15,2020-05-15-1780,0.095772356,-0.05913476
2020-08-07,2020-08-07-1780,0.09539012,-0.059044972
2020-11-13,2020-11-13-1780,0.094872884,-0.058970615
2020-02-14,2020-02-14-1782,0.06395843,-0.050962687
2020-05-14,2020-05-14-1782,0.07632647,-0.05702784
2020-08-11,2020-08-11-1782,0.07356266,-0.055148005
2020-11-13,2020-11-13-1782,0.070084475,-0.053723894
2020-02-14,2020-02-14-1783,0.10084853,-0.060435697
2020-06-12,2020-06-12-1783,0.10195834,-0.061203733
2020-08-14,2020-08-14-1783,0.10083061,-0.060302332
2020-11-13,2020-11-13-1783,0.100700505,-0.060279027
2020-02-06,2020-02-06-1787,0.08282437,-0.057991497
2020-05-11,2020-05-11-1787,0.08154204,-0.05805564
2020-08-03,2020-08-03-1787,0.07737892,-0.057686903
2020-11-09,2020-11-09-1787,0.08176615,-0.058311455
2020-01-31,2020-01-31-1788,0.08747002,-0.057798162
2020-04-28,2020-04-28-1788,0.087943695,-0.05784387
2020-08-07,2020-08-07-1788,0.08757862,-0.057781994
2020-10-30,2020-10-30-1788,0.08688572,-0.057728104
2020-02-06,2020-02-06-1789,0.09497508,-0.059220538
2020-05-13,2020-05-13-1789,0.096097864,-0.05950688
2020-05-14,2020-05-14-1789,0.09595911,-0.059510253
2020-08-06,2020-08-06-1789,0.095762,-0.059263512
2020-10-30,2020-10-30-1789,0.096043624,-0.059229687
2020-11-13,2020-11-13-1789,0.09616324,-0.059286848
2020-02-05,2020-02-05-1793,0.07482013,-0.056048185
2020-05-14,2020-05-14-1793,0.07839512,-0.058070116
2020-08-04,2020-08-04-1793,0.07713573,-0.05755756
2020-11-04,2020-11-04-1793,0.07758315,-0.057817757
2020-02-10,2020-02-10-1795,0.08411364,-0.05778624
2020-05-13,2020-05-13-1795,0.08488815,-0.057718866
2020-05-15,2020-05-15-1795,0.08443533,-0.057772875
2020-08-07,2020-08-07-1795,0.083098225,-0.057943344
2020-11-06,2020-11-06-1795,0.08098114,-0.05817289
2020-11-11,2020-11-11-1795,0.08191067,-0.058029972
2020-01-31,2020-01-31-1798,0.08868184,-0.057995066
2020-04-28,2020-04-28-1798,0.09010329,-0.05824738
2020-05-11,2020-05-11-1798,0.08977576,-0.05816832
2020-07-31,2020-07-31-1798,0.08773845,-0.05781144
2020-10-30,2020-10-30-1798,0.08911438,-0.058070533
2020-02-04,2020-02-04-1799,0.089671426,-0.058179513
2020-05-12,2020-05-12-1799,0.089998975,-0.058206163
2020-08-05,2020-08-05-1799,0.09038458,-0.05829721
2020-11-05,2020-11-05-1799,0.08973583,-0.05817669
2020-02-07,2020-02-07-1801,0.08379234,-0.060019225
2020-05-13,2020-05-13-1801,0.09082078,-0.06324048
2020-08-05,2020-08-05-1801,0.091818236,-0.062485322
2020-11-11,2020-11-11-1801,0.08686646,-0.06155829
2020-02-12,2020-02-12-1802,0.10519268,-0.067605704
2020-05-15,2020-05-15-1802,0.100605786,-0.064321056
2020-08-03,2020-08-03-1802,0.09863814,-0.06436886
2020-11-09,2020-11-09-1802,0.10469896,-0.067456156
2020-01-31,2020-01-31-1803,0.10537546,-0.068076596
2020-05-25,2020-05-25-1803,0.10567522,-0.06879315
2020-07-31,2020-07-31-1803,0.10649239,-0.0701474
2020-11-09,2020-11-09-1803,0.10525362,-0.068171464
2020-02-13,2020-02-13-1805,0.09185827,-0.058867052
2020-05-15,2020-05-15-1805,0.09437176,-0.059095666
2020-08-07,2020-08-07-1805,0.094062336,-0.05890271
2020-11-12,2020-11-12-1805,0.093920544,-0.059157938
2020-02-12,2020-02-12-1807,0.087475516,-0.057803355
2020-05-13,2020-05-13-1807,0.08938569,-0.05809374
2020-08-06,2020-08-06-1807,0.08822774,-0.057862684
2020-10-30,2020-10-30-1807,0.088421956,-0.057844922
2020-11-11,2020-11-11-1807,0.08838173,-0.057976194
2020-02-07,2020-02-07-1808,0.101721175,-0.06631106
2020-02-28,2020-02-28-1808,0.10474446,-0.069166675
2020-05-14,2020-05-14-1808,0.10049339,-0.06505424
2020-08-06,2020-08-06-1808,0.10031778,-0.06457795
2020-11-12,2020-11-12-1808,0.1028794,-0.06695567
2020-02-07,2020-02-07-1810,0.09565239,-0.0591558
2020-05-14,2020-05-14-1810,0.09649841,-0.059306547
2020-08-06,2020-08-06-1810,0.096268676,-0.05926504
2020-11-11,2020-11-11-1810,0.09582678,-0.059205085
2020-02-12,2020-02-12-1811,0.079536505,-0.058257483
2020-05-13,2020-05-13-1811,0.082112014,-0.0580073
2020-08-07,2020-08-07-1811,0.08044032,-0.05819431
2020-11-11,2020-11-11-1811,0.07576951,-0.056691147
2020-02-12,2020-02-12-1812,0.10484069,-0.0685995
2020-05-14,2020-05-14-1812,0.103572294,-0.06795292
2020-08-06,2020-08-06-1812,0.10495991,-0.06935839
2020-11-10,2020-11-10-1812,0.1052936,-0.0694528
2020-02-07,2020-02-07-1813,0.090881065,-0.058790468
2020-05-13,2020-05-13-1813,0.09314165,-0.059707977
2020-08-06,2020-08-06-1813,0.09242663,-0.05895479
2020-11-09,2020-11-09-1813,0.091514416,-0.05875185
2020-02-04,2020-02-04-1814,0.09430611,-0.05884841
2020-02-26,2020-02-26-1814,0.094796665,-0.058949396
2020-05-08,2020-05-08-1814,0.09569531,-0.059088677
2020-08-03,2020-08-03-1814,0.09541434,-0.059056416
2020-10-27,2020-10-27-1814,0.09521874,-0.059006825
2020-11-05,2020-11-05-1814,0.095122375,-0.05897644
2020-02-13,2020-02-13-1815,0.0857657,-0.057780705
2020-03-17,2020-03-17-1815,0.08907745,-0.058277167
2020-05-15,2020-05-15-1815,0.08853608,-0.058006562
2020-08-06,2020-08-06-1815,0.089304134,-0.058170125
2020-11-12,2020-11-12-1815,0.08930179,-0.058254614
2020-02-06,2020-02-06-1820,0.08955119,-0.059742466
2020-04-27,2020-04-27-1820,0.09086584,-0.059456162
2020-05-11,2020-05-11-1820,0.090208374,-0.059547633
2020-08-05,2020-08-05-1820,0.09035433,-0.058995746
2020-11-05,2020-11-05-1820,0.09078685,-0.05941806
2020-02-12,2020-02-12-1821,0.102391355,-0.06401895
2020-05-13,2020-05-13-1821,0.1045663,-0.06524213
2020-08-06,2020-08-06-1821,0.10206132,-0.06273123
2020-11-11,2020-11-11-1821,0.10348731,-0.063772395
2020-02-12,2020-02-12-1822,0.08638481,-0.058015816
2020-03-13,2020-03-13-1822,0.09090043,-0.059023783
2020-05-13,2020-05-13-1822,0.08812571,-0.058287285
2020-08-07,2020-08-07-1822,0.08749098,-0.058071844
2020-11-11,2020-11-11-1822,0.08280463,-0.05897551
2020-02-07,2020-02-07-1824,0.09863868,-0.06299647
2020-05-14,2020-05-14-1824,0.0981062,-0.061209343
2020-05-22,2020-05-22-1824,0.09909327,-0.062240705
2020-08-06,2020-08-06-1824,0.09955826,-0.062162682
2020-11-11,2020-11-11-1824,0.098072566,-0.06129522
2020-02-07,2020-02-07-1826,0.09780617,-0.05965147
2020-04-30,2020-04-30-1826,0.0983254,-0.059861727
2020-05-15,2020-05-15-1826,0.09805881,-0.059662
2020-08-07,2020-08-07-1826,0.09791248,-0.05961343
2020-11-06,2020-11-06-1826,0.097601876,-0.05956643
2020-02-13,2020-02-13-1827,0.09746128,-0.059555992
2020-07-15,2020-07-15-1827,0.098268755,-0.0597046
2020-09-11,2020-09-11-1827,0.098255865,-0.059822753
2020-11-13,2020-11-13-1827,0.097942404,-0.05969417
2020-02-07,2020-02-07-1828,0.09454708,-0.05887682
2020-05-11,2020-05-11-1828,0.095919415,-0.059212193
2020-05-15,2020-05-15-1828,0.09596439,-0.05934322
2020-06-05,2020-06-05-1828,0.09606777,-0.059213273
2020-08-06,2020-08-06-1828,0.09595319,-0.05918388
2020-11-06,2020-11-06-1828,0.09551317,-0.05908505
2020-02-07,2020-02-07-1833,0.08583783,-0.058316708
2020-05-15,2020-05-15-1833,0.08775952,-0.05805088
2020-05-22,2020-05-22-1833,0.0876173,-0.058183514
2020-08-06,2020-08-06-1833,0.087306105,-0.058081716
2020-09-15,2020-09-15-1833,0.08706791,-0.05818057
2020-11-13,2020-11-13-1833,0.08766434,-0.05826837
2020-02-07,2020-02-07-1835,0.08329448,-0.058147244
2020-05-14,2020-05-14-1835,0.08618744,-0.05790107
2020-08-07,2020-08-07-1835,0.0874481,-0.058026657
2020-11-10,2020-11-10-1835,0.08563764,-0.058172196
2020-11-12,2020-11-12-1835,0.085170306,-0.058167472
2020-03-13,2020-03-13-1840,0.1002871,-0.060225174
2020-06-15,2020-06-15-1840,0.1004247,-0.060376987
2020-09-11,2020-09-11-1840,0.0997738,-0.059969008
2020-12-15,2020-12-15-1840,0.09992019,-0.059999198
2020-02-14,2020-02-14-1841,0.09441482,-0.058826283
2020-05-18,2020-05-18-1841,0.095087186,-0.058927193
2020-08-14,2020-08-14-1841,0.095035404,-0.05895161
